,name
0,거실가구
1,사무/학습용가구
2,야외용가구
3,주방침실가구
4,계절가전
5,주방가전
6,생활가전
7,영상가전
8,디지털기기
9,통신기기
10,미용/헬스케어가전
11,차량용기기
12,음향가전
13,보안기기
14,상업용기기
15,기타기기
16,주방용품
17,욕실용품
18,의료/헬스케어용품
19,홈데코/소품
20,공구/부품
21,사무/필기용품
22,차량용품
23,기호/미용용품
24,안전/보안용품
25,음악/취미용품
26,반려동물용품
27,스포츠/레저용품
28,유아/아동용품
29,빨래/청소용품
30,해양생물/어류
31,조류/파충류
32,포유류
33,곤충/절지동물
34,식물
35,과채/해조류
36,견과류
37,유제품/난류
38,가공식품/디저트
39,음료
40,요리
41,조미료/재료
42,주류/차류
43,잡화/가방
44,잡화기타
45,액세서리
46,화장품
47,의류/속옷
48,차량기타
49,육상운송
50,항공운송
51,해상운송
52,우주항공
53,랜드마크
54,건축물/구조물
55,우주/자연물
56,군사/무기
57,인체/직업
