no,ctg_id,ctg_nm_level1,ctg_nm_level2,ctg_nm_level3,ctg_folder_level1,ctg_folder_level2,ctg_folder_level3
1,0001,가구,거실가구,장식장,L1_1,L2_1,L3_1
2,0002,가구,거실가구,TV거실장,L1_1,L2_1,L3_2
3,0003,가구,거실가구,거실테이블,L1_1,L2_1,L3_3
4,0004,가구,거실가구,사이드테이블,L1_1,L2_1,L3_4
5,0005,가구,거실가구,소파,L1_1,L2_1,L3_5
6,0006,가구,거실가구,거실의자,L1_1,L2_1,L3_6
7,0007,가구,거실가구,좌식의자,L1_1,L2_1,L3_7
8,0008,가구,거실가구,흔들의자,L1_1,L2_1,L3_8
9,0009,가구,사무/학습용가구,독서실책상,L1_1,L2_2,L3_9
10,0010,가구,사무/학습용가구,사무용 책상,L1_1,L2_2,L3_10
11,0011,가구,사무/학습용가구,일자형책상,L1_1,L2_2,L3_11
12,0012,가구,사무/학습용가구,협탁,L1_1,L2_2,L3_12
13,0013,가구,사무/학습용가구,캐비닛,L1_1,L2_2,L3_13
14,0014,가구,사무/학습용가구,책장,L1_1,L2_2,L3_14
15,0015,가구,사무/학습용가구,사무용의자,L1_1,L2_2,L3_15
16,0016,가구,야외용가구,벤치,L1_1,L2_3,L3_16
17,0017,가구,야외용가구,야외용의자(선베드),L1_1,L2_3,L3_17
18,0018,가구,주방침실가구,"주방수납장(상부, 하부장)",L1_1,L2_4,L3_18
19,0019,가구,주방침실가구,싱크대,L1_1,L2_4,L3_19
20,0020,가구,주방침실가구,침대,L1_1,L2_4,L3_20
21,0021,가구,주방침실가구,식탁,L1_1,L2_4,L3_21
22,0022,가구,주방침실가구,서랍장,L1_1,L2_4,L3_22
23,0023,가구,주방침실가구,스툴,L1_1,L2_4,L3_23
24,0024,가구,주방침실가구,옷장,L1_1,L2_4,L3_24
25,0025,가구,주방침실가구,2층침대,L1_1,L2_4,L3_25
26,0026,가구,주방침실가구,화장대(+거울),L1_1,L2_4,L3_26
27,0027,가전/디지털,계절가전,공기청정기,L1_2,L2_5,L3_27
28,0028,가전/디지털,계절가전,스탠드에어컨,L1_2,L2_5,L3_28
29,0029,가전/디지털,계절가전,벽걸이에어컨,L1_2,L2_5,L3_29
30,0030,가전/디지털,계절가전,잔디깎이,L1_2,L2_5,L3_30
31,0031,가전/디지털,계절가전,가습기,L1_2,L2_5,L3_31
32,0032,가전/디지털,계절가전,제습기,L1_2,L2_5,L3_32
33,0033,가전/디지털,계절가전,스탠드형 선풍기,L1_2,L2_5,L3_33
34,0034,가전/디지털,계절가전,천장형 선풍기,L1_2,L2_5,L3_34
35,0035,가전/디지털,계절가전,전기히터,L1_2,L2_5,L3_35
36,0036,가전/디지털,계절가전,라디에이터,L1_2,L2_5,L3_36
37,0037,가전/디지털,계절가전,서큘레이터,L1_2,L2_5,L3_37
38,0038,가전/디지털,주방가전,환풍기,L1_2,L2_6,L3_38
39,0039,가전/디지털,주방가전,전자레인지,L1_2,L2_6,L3_39
40,0040,가전/디지털,주방가전,가스레인지,L1_2,L2_6,L3_40
41,0041,가전/디지털,주방가전,가스레인지후드,L1_2,L2_6,L3_41
42,0042,가전/디지털,주방가전,믹서기 및 착즙기,L1_2,L2_6,L3_42
43,0043,가전/디지털,주방가전,오븐,L1_2,L2_6,L3_43
44,0044,가전/디지털,주방가전,에어프라이어,L1_2,L2_6,L3_44
45,0045,가전/디지털,주방가전,커피머신,L1_2,L2_6,L3_45
46,0046,가전/디지털,주방가전,전기밥솥,L1_2,L2_6,L3_46
47,0047,가전/디지털,주방가전,전기그릴,L1_2,L2_6,L3_47
48,0048,가전/디지털,주방가전,전기포트,L1_2,L2_6,L3_48
49,0049,가전/디지털,주방가전,토스터기,L1_2,L2_6,L3_49
50,0050,가전/디지털,주방가전,와인셀러,L1_2,L2_6,L3_50
51,0051,가전/디지털,주방가전,냉장고,L1_2,L2_6,L3_51
52,0052,가전/디지털,주방가전,김치냉장고,L1_2,L2_6,L3_52
53,0053,가전/디지털,주방가전,식기세척기,L1_2,L2_6,L3_53
54,0054,가전/디지털,주방가전,와플팬,L1_2,L2_6,L3_54
55,0055,가전/디지털,주방가전,음식물처리기,L1_2,L2_6,L3_55
56,0056,가전/디지털,주방가전,정수기(이온수기 포함),L1_2,L2_6,L3_56
57,0057,가전/디지털,생활가전,통돌이세탁기,L1_2,L2_7,L3_57
58,0058,가전/디지털,생활가전,드럼세탁기,L1_2,L2_7,L3_58
59,0059,가전/디지털,생활가전,다리미,L1_2,L2_7,L3_59
60,0060,가전/디지털,생활가전,재봉틀,L1_2,L2_7,L3_60
61,0061,가전/디지털,생활가전,일반청소기,L1_2,L2_7,L3_61
62,0062,가전/디지털,생활가전,무선청소기,L1_2,L2_7,L3_62
63,0063,가전/디지털,생활가전,핸디형청소기,L1_2,L2_7,L3_63
64,0064,가전/디지털,생활가전,로봇청소기,L1_2,L2_7,L3_64
65,0065,가전/디지털,영상가전,TV,L1_2,L2_8,L3_65
66,0066,가전/디지털,영상가전,브라운관TV,L1_2,L2_8,L3_66
67,0067,가전/디지털,영상가전,빔프로젝터,L1_2,L2_8,L3_67
68,0068,가전/디지털,영상가전,DSLR 카메라,L1_2,L2_8,L3_68
69,0069,가전/디지털,영상가전,폴라로이드 카메라,L1_2,L2_8,L3_69
70,0070,가전/디지털,영상가전,디지털카메라,L1_2,L2_8,L3_70
71,0071,가전/디지털,영상가전,삼각대,L1_2,L2_8,L3_71
72,0072,가전/디지털,영상가전,캠코더,L1_2,L2_8,L3_72
73,0073,가전/디지털,영상가전,VR기기,L1_2,L2_8,L3_73
74,0074,가전/디지털,영상가전,리모콘,L1_2,L2_8,L3_74
75,0075,가전/디지털,디지털기기,모니터(모니터 액세서리 포함),L1_2,L2_9,L3_75
76,0076,가전/디지털,디지털기기,노트북컴퓨터,L1_2,L2_9,L3_76
77,0077,가전/디지털,디지털기기,"태블릿PC ",L1_2,L2_9,L3_77
78,0078,가전/디지털,디지털기기,스마트폰,L1_2,L2_9,L3_78
79,0079,가전/디지털,디지털기기,휴대전화플립형,L1_2,L2_9,L3_79
80,0080,가전/디지털,디지털기기,스마트워치,L1_2,L2_9,L3_80
81,0081,가전/디지털,디지털기기,휴대기기 보조배터리,L1_2,L2_9,L3_81
82,0082,가전/디지털,디지털기기,키보드,L1_2,L2_9,L3_82
83,0083,가전/디지털,디지털기기,타자기,L1_2,L2_9,L3_83
84,0084,가전/디지털,디지털기기,마우스,L1_2,L2_9,L3_84
85,0085,가전/디지털,디지털기기,프린터기,L1_2,L2_9,L3_85
86,0086,가전/디지털,디지털기기,복합기,L1_2,L2_9,L3_86
87,0087,가전/디지털,디지털기기,데스크탑컴퓨터,L1_2,L2_9,L3_87
88,0088,가전/디지털,디지털기기,"휴대전화(바형, 버튼식)",L1_2,L2_9,L3_88
89,0089,가전/디지털,디지털기기,스캐너,L1_2,L2_9,L3_89
90,0090,가전/디지털,디지털기기,유심카드,L1_2,L2_9,L3_90
91,0091,가전/디지털,디지털기기,USB,L1_2,L2_9,L3_91
92,0092,가전/디지털,통신기기,가정용유선전화기,L1_2,L2_10,L3_92
93,0093,가전/디지털,통신기기,가정용무선전화기,L1_2,L2_10,L3_93
94,0094,가전/디지털,통신기기,홈네트워크단말기,L1_2,L2_10,L3_94
95,0095,가전/디지털,미용/헬스케어가전,전기면도기,L1_2,L2_11,L3_95
96,0096,가전/디지털,미용/헬스케어가전,헤어드라이어,L1_2,L2_11,L3_96
97,0097,가전/디지털,미용/헬스케어가전,헤어스타일링 기기(고데기),L1_2,L2_11,L3_97
98,0098,가전/디지털,미용/헬스케어가전,안마의자,L1_2,L2_11,L3_98
99,0099,가전/디지털,미용/헬스케어가전,손 건조기,L1_2,L2_11,L3_99
100,0100,가전/디지털,미용/헬스케어가전,손 소독기,L1_2,L2_11,L3_100
101,0101,가전/디지털,차량용기기,내비게이션,L1_2,L2_12,L3_101
102,0102,가전/디지털,차량용기기,주차정산기,L1_2,L2_12,L3_102
103,0103,가전/디지털,음향가전,스피커,L1_2,L2_13,L3_103
104,0104,가전/디지털,음향가전,LP플레이어,L1_2,L2_13,L3_104
105,0105,가전/디지털,음향가전,CD플레이어,L1_2,L2_13,L3_105
106,0106,가전/디지털,음향가전,오디오,L1_2,L2_13,L3_106
107,0107,가전/디지털,음향가전,유선이어폰,L1_2,L2_13,L3_107
108,0108,가전/디지털,음향가전,MP3 플레이어,L1_2,L2_13,L3_108
109,0109,가전/디지털,음향가전,라디오,L1_2,L2_13,L3_109
110,0110,가전/디지털,음향가전,무선이어폰,L1_2,L2_13,L3_110
111,0111,가전/디지털,음향가전,헤드폰,L1_2,L2_13,L3_111
112,0112,가전/디지털,음향가전,마이크,L1_2,L2_13,L3_112
113,0113,가전/디지털,보안기기,디지털도어록,L1_2,L2_14,L3_113
114,0114,가전/디지털,보안기기,CCTV,L1_2,L2_14,L3_114
115,0115,가전/디지털,보안기기,지문인식기,L1_2,L2_14,L3_115
116,0116,가전/디지털,상업용기기,신용카드 매출발행기,L1_2,L2_15,L3_116
117,0117,가전/디지털,상업용기기,현금인출기,L1_2,L2_15,L3_117
118,0118,가전/디지털,상업용기기,자판기,L1_2,L2_15,L3_118
119,0119,가전/디지털,상업용기기,POS 바코드 스캐너,L1_2,L2_15,L3_119
120,0120,가전/디지털,기타기기,드론,L1_2,L2_16,L3_120
121,0121,가전/디지털,기타기기,거리측정기(골프용),L1_2,L2_16,L3_121
122,0122,생활,주방용품,주방용 보관용기,L1_3,L2_17,L3_122
123,0123,생활,주방용품,머그컵,L1_3,L2_17,L3_123
124,0124,생활,주방용품,찻잔,L1_3,L2_17,L3_124
125,0125,생활,주방용품,물병,L1_3,L2_17,L3_125
126,0126,생활,주방용품,텀블러,L1_3,L2_17,L3_126
127,0127,생활,주방용품,맥주잔,L1_3,L2_17,L3_127
128,0128,생활,주방용품,보울(그릇),L1_3,L2_17,L3_128
129,0129,생활,주방용품,감자칼,L1_3,L2_17,L3_129
130,0130,생활,주방용품,갈릭프레스,L1_3,L2_17,L3_130
131,0131,생활,주방용품,칵테일쉐이커,L1_3,L2_17,L3_131
132,0132,생활,주방용품,와인잔,L1_3,L2_17,L3_132
133,0133,생활,주방용품,와인오프너,L1_3,L2_17,L3_133
134,0134,생활,주방용품,와인디캔터,L1_3,L2_17,L3_134
135,0135,생활,주방용품,접시거치대,L1_3,L2_17,L3_135
136,0136,생활,주방용품,절구,L1_3,L2_17,L3_136
137,0137,생활,주방용품,도시락(용기),L1_3,L2_17,L3_137
138,0138,생활,주방용품,비닐봉지,L1_3,L2_17,L3_138
139,0139,생활,주방용품,쟁반/트레이,L1_3,L2_17,L3_139
140,0140,생활,주방용품,얼음틀,L1_3,L2_17,L3_140
141,0141,생활,주방용품,냄비,L1_3,L2_17,L3_141
